recipe_slug	score_bound
falafel	2.101504549565479
spamburger	2.3456067829251848
bacon-fried-rice	2.8583454839686016
chicken-fingers	2.2315557058204036
apple-crisp	2.170869690759352
cranberry-apple-crisp	2.1899196968130776
bacon-chocolate-chip-cookies	2.616668659143769
sujebi	2.2531426577498865
pasta-primavera	1.960623982581442
ramen	1.9305793060822016
brownies	2.069131178311949
bacon-wrapped-scallops	2.75369275857137
bacon-egg-muffins	2.722965791230824
breakfast-burritos	2.2204198994123883
bolognese-sauce	2.0368648851330535
croissants	2.184085208775982
bacon-souffle	2.4506539191564074
souffle	2.163861994706216
chocolate-souffle	1.8755439887416916
butter-croissants	1.777388310472315
pickled-green-beans	2.150937179239486
fried-oysters	2.146152520742443
peanut-butter-brownies	1.9215862179046295
almond-chip-cookies	2.193427246817787
guacamole	2.208834729162983
brioche-bread	2.2591222329754705
brioche-bread-with-chocolate	2.0962980574953036
asparagus-quiche	2.1944103298497044
asparagus-burger	2.156259858324538
ma-la-chicken	2.344750630685783
cold-noodles-with-tomatoes	2.2638056884541653
tamales	2.2093540093669777
enchiladas	2.20018351686309
tacos	2.2303397442016815
burritos	2.2255662404330785
peanut-butter-cupcakes	1.8422799481271595
pickled-asparagus	2.226464777685728
chocolate-peanut-butter-cake	1.990241568942445
udon	2.207824244761314
vegetable-lasagna	1.5443254787920562
maple-bacon-donuts	2.7156449000416125
maple-bacon-pancakes	2.695335463323308
spinach-and-ricotta-stuffed-shells	1.6326132609758686
quesadillas	2.2460983367049288
pico-de-gallo	2.1010973685126166
nachos	2.1372646341782864
cold-soba-noodles-with-tomato-and-cucumber	2.228614969441725
fajitas	1.8799761650027664
loaded-nachos	2.1951371149031775
lasagna	2.0402925804537375
chicken-nuggets	2.152581630007782
pain-au-chocolat	2.2272990896750215
nacho-dip	2.1104242818025245
nacho-salad	2.3120712565497064
nacho-casserole	2.082471756717945
nacho-fries	2.3389730120729384
tempura-udon	2.092217009815054
peach-crisp	1.9340773112986933
apple-pie	2.1562405707859225
blueberry-crisp	1.6845812764627868
berry-crumble	1.622323196772237
strawberry-rhubarb-crisp	2.194114974808509
peach-cobbler	2.125353273525529
cranberry-sauce	2.2467534522962906
cherry-cobbler	2.061274254075166
apple-crumble	2.279659023917083
chocolate-croissants	1.8090077632911479
french-toast	1.8510572544605561
chocolate-babka	2.323216635945179
cinnamon-babka	2.028082254792393
blueberry-crumble	1.820085238538607
spam-musubi	2.159547971470825
taco-salad	2.322961237165344
chiles-rellenos	2.100629718341298
almond-croissants	2.0812523916483974
cranberry-relish	2.1655675609952665
ma-la-beef	2.2402716151864364
chocolate-cake	2.0449238086059895
spinach-quiche	2.0584414496596817
mushroom-quiche	2.1819495128332624
quiche-lorraine	2.342884742488101
croissant-aux-amandes	2.162738819831225
danishes	2.232267735522918
spinach-and-feta-quiche	2.2062274315753703
cold-sesame-noodles	2.2328401879898228
soba-noodle-salad-with-peanut-dressing	2.133805289150903
dan-dan-noodles	2.3334544192086777
vanilla-souffle	2.1005203944970736
bacon-wrapped-dates	2.6864774615612186
cherry-pie	2.009410386540647
berry-crisp	1.9543409931409395
bacon-and-egg-breakfast-sandwich	2.736928837010516
bacon-wrapped-shrimp-skewers	2.795345625064622
bacon-wrapped-chicken	2.803191739361682
bacon-wrapped-asparagus	2.7843689394401125
bacon-mac-and-cheese	2.786119330163138
chicken-alfredo-lasagna	2.1081030670753726
classic-beef-lasagna	2.0480186573593455
vegetarian-mushroom-lasagna	1.671817817306379
spinach-and-ricotta-lasagna	1.9862002395691971
